id,label
32882,cat
43590,bird
35876,cat
37065,ship
35850,bird
35547,airplane
4621,bird
49643,truck
12437,cat
31731,ship
23638,deer
10843,bird
17355,dog
26275,bird
16100,bird
38767,bird
12751,cat
34215,truck
18530,bird
24959,cat
31681,ship
7337,bird
35220,frog
18429,horse
5642,ship
46105,truck
8178,deer
34972,bird
38016,deer
36191,horse
31432,deer
26399,bird
38158,automobile
19701,bird
9749,dog
40597,truck
15600,horse
24915,dog
47484,airplane
38759,dog
24843,cat
28921,horse
13439,bird
39155,ship
15929,ship
21594,automobile
46817,horse
10364,automobile
45639,frog
45303,truck
44407,horse
11413,frog
18890,cat
22581,deer
35094,horse
49447,ship
41244,airplane
8486,bird
28002,automobile
19127,cat
32359,cat
32648,automobile
5042,frog
46699,truck
25215,cat
12789,frog
18761,truck
19828,cat
47534,bird
17222,airplane
1131,airplane
39920,cat
13691,truck
6920,airplane
45105,ship
17016,airplane
41710,frog
6442,horse
13812,cat
30520,dog
3938,automobile
24894,truck
15588,deer
11320,frog
39322,cat
4589,bird
9851,frog
44650,ship
19010,airplane
18921,airplane
18906,airplane
16537,cat
10125,airplane
38179,horse
6254,dog
1510,deer
28469,horse
34497,cat
49060,frog
49980,cat
47234,horse
21914,cat
26767,truck
4003,dog
32665,truck
7045,frog
14928,automobile
34531,automobile
35935,airplane
25517,bird
16059,deer
33127,automobile
927,horse
10851,truck
19979,horse
40798,frog
35557,automobile
20913,truck
35389,ship
46564,bird
34822,automobile
11693,automobile
17121,ship
25315,automobile
2706,deer
3037,deer
49835,frog
38817,automobile
5119,bird
24882,airplane
2409,bird
35716,cat
2049,cat
27311,ship
19510,ship
19440,bird
26022,truck
7180,airplane
27967,bird
27995,automobile
28114,airplane
15567,truck
40790,ship
3506,automobile
3458,cat
17250,bird
4728,bird
49260,dog
21139,truck
21111,truck
41440,automobile
27602,automobile
6952,truck
25161,airplane
4540,ship
30824,truck
454,airplane
31725,automobile
14698,bird
12917,airplane
6000,ship
18549,ship
8300,horse
25374,frog
11551,deer
40664,deer
31417,frog
4523,horse
32466,ship
48380,ship
40220,deer
14595,airplane
32154,bird
38033,bird
39696,dog
10201,frog
45942,dog
34142,frog
26521,dog
35367,automobile
14209,ship
6848,cat
24826,ship
2949,bird
47246,ship
29056,ship
28421,automobile
42859,frog
21191,dog
45570,automobile
12188,truck
20259,frog
9933,automobile
1204,deer
38241,dog
13843,dog
4811,frog
46120,deer
26170,bird
19854,cat
22201,airplane
40054,dog
46880,bird
17720,deer
36828,truck
48444,cat
