id,created_at,account_acct,content_text,original_text
115304980122316019,2025-10-02T14:12:49.548000+00:00,ichris,We need a Slow Horses / Bad Sisters crossover season where Slough House tries to figure out how Bibi’s wife died and Roddy thinks Becka is super into him. #AppleTV,We need a Slow Horses / Bad Sisters crossover season where Slough House tries to figure out how Bibi’s wife died and Roddy thinks Becka is super into him. #AppleTV 
115304980007869659,2025-10-02T14:12:47.794000+00:00,clickclaimprize,Also reviewed Blood Orange's Essex Honey [URL],Also reviewed Blood Orange's Essex Honey https://pitchfork.com/reviews/albums/blood-orange-essex-honey/ 
115304979805849115,2025-10-02T14:12:44.714000+00:00,splendorr,"oh it’s another day? then it must be time for my year-old iphone to constantly drop what I’m listening to out of memory, and instead default to playing the first song alphabetically from my Music library, which is of course “A” by the Barenaked Ladies","oh it’s another day? then it must be time for my year-old iphone to constantly drop what I’m listening to out of memory, and instead default to playing the first song alphabetically from my Music library, which is of course “A” by the Barenaked Ladies "
115304979802606388,2025-10-02T14:12:44.662000+00:00,enterweek,"네이버, 최상급 언어 능력 갖춘 추론모델 ‘HyperCLOVA X THINK’ 공개 네이버가 30일 추론(reasoning) 능력을 강화한 생성형 AI ‘HyperCLOVA X THINK(하이퍼클로바X 씽크)’ 개발을 완료하고, 모델의 설계와 성능 등 세부 정보를 소개하는 테크니컬 리포트를 발표했다. 추론모델은 ‘생각하는 힘’이 강화된 AI로, 사용자가 질의를 입력하면 모델이 혼잣말하듯이 길게 생각하며 답변 계획을 수립하는 것이 특징이다. 이 과정에서 복잡한 문제를 작은 단위로 나누는 능력, 적절한 도구나 함수를 선택하는 능력, 실수를 반추하고 교정하는 능력이 발현되며 생성 정보의 정확도와 유용성이 향상되어, AI 에이전트 서비스의 핵심적인 기술로도 주목받고 있다. [URL]","네이버, 최상급 언어 능력 갖춘 추론모델 ‘HyperCLOVA X THINK’ 공개 네이버가 30일 추론(reasoning) 능력을 강화한 생성형 AI ‘HyperCLOVA X THINK(하이퍼클로바X 씽크)’ 개발을 완료하고, 모델의 설계와 성능 등 세부 정보를 소개하는 테크니컬 리포트를 발표했다. 추론모델은 ‘생각하는 힘’이 강화된 AI로, 사용자가 질의를 입력하면 모델이 혼잣말하듯이 길게 생각하며 답변 계획을 수립하는 것이 특징이다. 이 과정에서 복잡한 문제를 작은 단위로 나누는 능력, 적절한 도구나 함수를 선택하는 능력, 실수를 반추하고 교정하는 능력이 발현되며 생성 정보의 정확도와 유용성이 향상되어, AI 에이전트 서비스의 핵심적인 기술로도 주목받고 있다. https://xn--li5buvo0smwa.kr/archives/172175?utm_source=mastodon&utm_medium=jetpack_social "
115304979769804309,2025-10-02T14:12:44.163000+00:00,theprp,Lamb Of God Debut Music Video For Their Brand New Single “Sepsis” [URL],Lamb Of God Debut Music Video For Their Brand New Single “Sepsis” https://www.theprp.com/2025/10/02/news/lamb-of-god-debut-music-video-for-their-brand-new-single-sepsis/ 
115304979531310108,2025-10-02T14:12:40.520000+00:00,pgxn,🛫 Released: pg_search [URL] 📚 Full text search for PostgreSQL using BM25 🥳 By paradedb [URL],🛫 Released: pg_search 0.18.11 📚 Full text search for PostgreSQL using BM25 🥳 By paradedb https://pgxn.org/dist/pg_search/ 
115304979505917127,2025-10-02T14:12:40.156000+00:00,NicePrivateJets,✈️ TAKEOFF 📝 Registration: 48B063 🗺️ Track: [URL] 📊 Today's Stats: 405 private flights tracked (100% of total flights) #Aviation #PrivateJet,✈️ TAKEOFF 📝 Registration: 48B063 🗺️ Track: https://map.opensky-network.org/?icao=48b063 📊 Today's Stats: 405 private flights tracked (100% of total flights) #Aviation #PrivateJet 
115304979269533620,2025-10-02T14:12:36.545000+00:00,tibrnowplayingbot,Artist: BENDY Support: [URL] Title: Haunted Album: shape 2: dazed Station: The Indie Beat Radio - NHAM Live: [URL] Up next: CURXES - IN YOUR NEIGHBOURHOOD Visit: [URL] #tibrNowPlaying #theIndieBeatNowPlaying #tibrNham,Artist:	BENDY  Support:	https://sloppybendy.bandcamp.com/track/haunted  Title:	Haunted  Album:	 shape 2: dazed  Station:	The Indie Beat Radio - NHAM  Live:	https://nham.co.uk/listen Up next:	CURXES - IN YOUR NEIGHBOURHOOD Visit:	https://theindiebeat.fm  #tibrNowPlaying #theIndieBeatNowPlaying #tibrNham 
115304979051973138,2025-10-02T14:12:33.209000+00:00,idntimes,Akses Internet di Afghanistan Sudah Beroperasi Normal [URL],Akses Internet di Afghanistan Sudah Beroperasi Normal https://www.idntimes.com/news/world/akses-internet-di-afghanistan-sudah-beroperasi-normal-c1c2-01-y12lt-p6g58g?utm_source=mastodon&utm_medium=mastodon&utm_campaign=dlvr.it 
115304978977035836,2025-10-02T14:12:32.074000+00:00,tibrnowplayingbot,Artist: Brickwall Unlimited Inc. Support: [URL] Title: Spronk Album: Station: The Indie Beat Radio - Not What I Call Radio Bonk Wave Live: [URL] Up next: sknob - La sieste / Don't Mind Me Visit: [URL] #tibrNowPlaying #theIndieBeatNowPlaying #tibrNotWhatICallRadioBonkWave,Artist:	Brickwall Unlimited Inc.  Support:	https://brickwallunlimitedinc.bandcamp.com  Title:	Spronk  Album:	   Station:	The Indie Beat Radio - Not What I Call Radio Bonk Wave  Live:	https://theindiebeat.fm/not-what-i-call-radio-bonk-wave/ Up next:	sknob - La sieste / Don't Mind Me Visit:	https://theindiebeat.fm  #tibrNowPlaying #theIndieBeatNowPlaying #tibrNotWhatICallRadioBonkWave 
115304978922024318,2025-10-02T14:12:31.318000+00:00,designbohemian,RWS Christmas Tarot Deck by Printagrams [URL] #Tarot #RiderWaite #ChristmasTarot #EtsyFinds #TarotDeck,RWS Christmas Tarot Deck by Printagrams https://www.etsy.com/listing/4301332978/rws-christmas-tarot-deck?ref=rss&utm_source=dlvr.it&utm_medium=mastodon #Tarot #RiderWaite #ChristmasTarot #EtsyFinds #TarotDeck 
115304978719883069,2025-10-02T14:12:28.148000+00:00,tibrnowplayingbot,Artist: Luka Prinčič / Prince Lucija Support: [URL] Title: Just Start The Funk Album: DRAGX̶FUNK Station: The Indie Beat Radio - Electronic Live: [URL] Up next: Francois Dion - Penny in a glass jar Visit: [URL] #tibrNowPlaying #theIndieBeatNowPlaying #tibrTheIndieBeatRadioElectronic,Artist:	Luka Prinčič / Prince Lucija  Support:	https://bandwagon.fm/@67a0a0808121f77ed3466870  Title:	Just Start The Funk  Album:	 DRAGX̶FUNK  Station:	The Indie Beat Radio - Electronic  Live:	https://theindiebeat.fm/electronic Up next:	Francois Dion - Penny in a glass jar Visit:	https://theindiebeat.fm  #tibrNowPlaying #theIndieBeatNowPlaying #tibrTheIndieBeatRadioElectronic 
115304978698199400,2025-10-02T14:12:27.821000+00:00,designbohemian,Death Tarot Card Tapestry - Rider Waite Death Tapestry by Printagrams [URL] #Tarot #DeathCard #TarotMeanings #RiderWaite #TarotCommunity,Death Tarot Card Tapestry - Rider Waite Death Tapestry by Printagrams https://www.etsy.com/listing/824976047/death-tarot-card-tapestry-rider-waite?ref=rss&utm_source=dlvr.it&utm_medium=mastodon #Tarot #DeathCard #TarotMeanings #RiderWaite #TarotCommunity 
115304978676044271,2025-10-02T14:12:27.477000+00:00,AirportStatusBot,The departure delay at Orlando International #Airport (#MCO) has increased to 31-45 minutes and is still increasing. #AirportStatusBot,The departure delay at Orlando International #Airport (#MCO) has increased to 31-45 minutes and is still increasing. #AirportStatusBot 
115304978607548853,2025-10-02T14:12:26.427000+00:00,agitprop_n_absurdity,"Israeli forces are reportedly deploying speedboats, larger vessels, and even paragliders against the remaining Global Sumud Flotilla ships attempting to reach Gaza, according to media sources. 2/2","Israeli forces are reportedly deploying speedboats, larger vessels, and even paragliders against the remaining Global Sumud Flotilla ships attempting to reach Gaza, according to media sources. 2/2 "
115304978540341841,2025-10-02T14:12:25.409000+00:00,designbohemian,"La Luna Cat Card Moon Print, No Frame by Printagrams [URL] #MoonArt #CatLovers #EtsyFinds #DigitalPrint #ArtPrints","La Luna Cat Card Moon Print, No Frame by Printagrams https://www.etsy.com/listing/714937144/la-luna-cat-card-moon-print-no-frame?ref=rss&utm_source=dlvr.it&utm_medium=mastodon #MoonArt #CatLovers #EtsyFinds #DigitalPrint #ArtPrints "
